States,Capacity_By_Location,Capacity_Including_Allocated_Shares,Rooftop_Solar_Capacity,Generation,Peak_Demand,Hydro,Nuclear,Other_RES,Thermal,Population
Andhra Pradesh,31646.31,30419.54,774.5,98620.87,"14,011",3353.6,127.27,12690.11,14248.56,535.24
Telangana,19773.08,21852.44,695.9,73319.98,"18,548",2479.93,148.73,5524.98,13698.8,384.54
Tamil Nadu,47637.05,47618.83,1532.3,132210.74,"20,211",2203.2,1448,26954.38,17013.25,773.17
Haryana,8773.31,14845.56,1188.3,28032.91,"13,998",2490.83,123.04,3011.72,9219.97,309.36
Punjab,9119.93,14764.16,581.2,39557.58,"17,171",3827.44,229.09,2343.63,8364,311.22
Rajasthan,60647.37,64309.2,2090.4,137540.67,"19,282",2167.07,806.74,46608.04,14727.35,827.7
Bihar,10821.26,8698.93,218,59778.49,"8,741",72.88,,651.26,7974.79,1304.29
Jharkhand,7519.59,3877.85,94.9,40782.19,"2,406",176.98,,279.59,3421.28,404.61
Odisha,13192.84,9239.99,156.3,78241.08,"7,302",2179.23,,1088.29,5972.47,468.57
West Bengal,16007.18,11453.62,67.13,92382.04,"13,108",1483.3,,770.98,9199.34,1000.42
Goa,83.49,642.11,71.5,65.25,864,5,41.68,83.49,511.94,15.91
Gujarat,71690.64,70945.39,6881.8,146466.52,"26,457",970.86,1034.89,45188.34,23751.3,732.27
Maharashtra,59515.71,61241.71,5442.3,172616.73,"32,419",3400.44,1068.66,28933.64,27838.97,1283.34
Arunachal Pradesh,2021.05,910.91,6.68,4857.17,228,670.99,,156.05,83.87,15.9
Assam,2305.64,2655.33,344.2,9049.9,"2,814",605.6,,612.29,1437.44,363.82
Manipur,163.97,290.98,10.6,584.61,280,103.32,,22.98,164.68,32.82
Madhya Pradesh,33352.64,29535.28,893.1,162192.22,"19,895",3263.06,491.98,9947.64,15832.6,886.41
Chhattisgarh,26416.56,15373.1,167.6,172067.2,"6,798",332.1,135.57,2203.56,12701.87,308.67
